id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
11,SI0013RL,Kapecong,Scaphium spp.,Pohon Tua,icon/mature_tree.svg,-,42,31,Hutan Lindung Sentajo,mineral,-,-0.472805556,101.5724167,96,0.002539222,Belum,Belum,Belum,Padin,2021-10-17T14:36:00.000+07:00,200000,3362.694699,-,Chave (2005),media/1.11.jpg,media/2.11.jpg,media/3.11.jpg,media/4.11.jpg,adopsipohonriau/11
12,SI0014RL,Keranji merah,Dialium indum,Pohon Muda,icon/young_tree.svg,-,31,32,Hutan Lindung Sentajo,mineral,-,-0.472805556,101.5724167,3099.999,0.002539222,Belum,Belum,Belum,Padin,2021-10-17T14:41:00.000+07:00,50000,3199.040408,-,Chave (2005),media/1.12.jpg,media/2.12.jpg,media/3.12.jpg,media/4.12.jpg,adopsipohonriau/12
13,SI0015RL,Rengas,Gluta aptera,Pohon Tua,icon/mature_tree.svg,-,55,47,Hutan Lindung Sentajo,mineral,-,-0.472694444,101.5724722,24.285,0.002546695,Belum,Belum,Belum,Padin,2021-10-17T14:45:00.000+07:00,200000,10875.84682,-,Chave (2005),media/1.13.jpg,media/2.13.jpg,media/3.13.jpg,media/4.13.jpg,adopsipohonriau/13
14,SI0016RL,Rengas,Gluta aptera,Pohon Tua,icon/mature_tree.svg,-,46,57,Hutan Lindung Sentajo,mineral,-,-0.472694444,101.5725278,17.964,0.002543623,Belum,Belum,Belum,Padin,2021-10-17T14:49:00.000+07:00,200000,9262.852521,-,Chave (2005),media/1.14.jpg,media/2.14.jpg,media/3.14.jpg,media/4.14.jpg,adopsipohonriau/14
15,SI0017RL,Meranti ,Shorea sp.,Pohon Muda,icon/young_tree.svg,-,28,32,Hutan Lindung Sentajo,mineral,-,-0.472694444,101.5725,150,0.002545157,Belum,Belum,Belum,Padin,2021-10-17T14:53:00.000+07:00,50000,1864.576366,-,Chave (2005),media/1.15.jpg,media/2.15.jpg,media/3.15.jpg,media/4.15.jpg,adopsipohonriau/15
50,SI0018RL,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,-,55,57,Hutan Lindung Sentajo,mineral,-,-0.4727696,101.5722142,3099.999,0.002553988,Belum,Belum,Belum,Padin,2021-10-17T15:01:00.000+07:00,200000,12235.5402,-,Chave (2005),media/1.50.jpg,media/2.50.jpg,media/3.50.jpg,media/4.50.jpg,adopsipohonriau/50
109,SI0111RL,Kolek,Syzygium sp.,Pohon Tua,icon/mature_tree.svg,-,51,38,Hutan Lindung Sentajo,mineral,-,-0.4768333,101.5630556,2361,0.000471015,Belum,Belum,Belum,Arab,2021-10-28T09:51:00.000+07:00,200000,8295.042886,-,Chave (2005),media/1.109.jpg,media/2.109.jpg,media/3.109.jpg,media/4.109.jpg,adopsipohonriau/109
126,SI0128RL,Meranti sabut,Shorea ovalis,Pohon Muda,icon/young_tree.svg,-,24,22,Hutan Lindung Sentajo,mineral,-,-0.4769722,101.5627222,4847,0.0006283,Belum,Belum,Belum,Arab,2021-10-28T13:59:00.000+07:00,50000,788.0542021,-,Chave (2005),media/1.126.jpg,media/2.126.jpg,media/3.126.jpg,media/4.126.jpg,adopsipohonriau/126
138,SI0140RL,Meranti putih,Shorea javanica,Pohon Tua,icon/mature_tree.svg,Endangered,83,45,Hutan Lindung Sentajo,mineral,-,-0.4771944,101.5629167,3200,0,Belum,Belum,Belum,Arab,2021-10-28T15:33:00.000+07:00,200000,20460.06982,-,Chave (2005),media/1.138.jpg,media/2.138.jpg,media/3.138.jpg,media/4.138.jpg,adopsipohonriau/138
1,SI0002RL,Pitatal,Ochanostachys amentacea,Pohon Muda,icon/young_tree.svg,Data deficent,32,23,Hutan Lindung Sentajo,mineral,-,-0.473055556,101.5727222,3099.999,0.002498525,Belum,Belum,Belum,Warsi,2021-10-17T09:46:00.000+07:00,50000,2409.359959,-,Chave (2005),media/1.1.jpg,media/2.1.jpg,media/3.1.jpg,media/4.1.jpg,adopsipohonriau/1
2,SI0003RL,Meranti,Shorea sp.,Pohon Muda,icon/young_tree.svg,-,35,25,Hutan Lindung Sentajo,mineral,-,-0.4730613,101.5726854,16.1,0.002500017,Belum,Belum,Belum,Warsi,2021-10-17T13:46:00.000+07:00,50000,2265.226273,-,Chave (2005),media/1.2.jpg,media/2.2.jpg,media/3.2.jpg,media/4.2.jpg,adopsipohonriau/2
3,SI0004RL,Asam k,Mangifera sp.,Pohon Muda,icon/young_tree.svg,-,32,25,Hutan Lindung Sentajo,mineral,-,-0.473111111,101.5725556,3099.999,0.002502513,Belum,Belum,Belum,Warsi,2021-10-17T13:53:00.000+07:00,50000,1804.389706,-,Chave (2005),media/1.3.jpg,media/2.3.jpg,media/3.3.jpg,media/4.3.jpg,adopsipohonriau/3
4,SI0005RL,Kelat,Eugenia spp,Pohon Tua,icon/mature_tree.svg,Least Concern,45,35,Hutan Lindung Sentajo,mineral,-,-0.4731159,101.5727484,818.12,0.002491341,Belum,Belum,Belum,Warsi,2021-10-17T13:57:00.000+07:00,200000,6229.07498,-,Chave (2005),media/1.4.jpg,media/2.4.jpg,media/3.4.jpg,media/4.4.jpg,adopsipohonriau/4
5,SI0006RL,Cempedak,Artocarpus heterophyllus,Pohon Muda,icon/young_tree.svg,-,40,35,Hutan Lindung Sentajo,mineral,-,-0.473039,101.57253,151.526,0.002510775,Belum,Belum,Belum,Padin,2021-10-17T14:05:00.000+07:00,200000,3477.122285,-,Chave (2005),media/1.5.jpg,media/2.5.jpg,media/3.5.jpg,media/4.5.jpg,adopsipohonriau/5
6,SI0007RL,Kulim,Scorodocarpus borneensis,Pohon Tua,icon/mature_tree.svg,-,40.5,30,Hutan Lindung Sentajo,mineral,-,-0.473083333,101.5725,3099.999,0.002508258,Belum,Belum,Belum,Padin,2021-10-17T14:09:00.000+07:00,200000,4635.395759,-,Chave (2005),media/1.6.jpg,media/2.6.jpg,media/3.6.jpg,media/4.6.jpg,adopsipohonriau/6
7,SI0008RL,Kelat merah,Eugenia spp,Pohon Tua,icon/mature_tree.svg,Least Concern,48,36,Hutan Lindung Sentajo,mineral,-,-0.4730594,101.5725245,32.464,0.002509149,Belum,Belum,Belum,Padin,2021-10-17T14:12:00.000+07:00,200000,7262.337979,-,Chave (2005),media/1.7.jpg,media/2.7.jpg,media/3.7.jpg,media/4.7.jpg,adopsipohonriau/7
8,SI0009RL,Keranji putih,Dialium sp.,Pohon Tua,icon/mature_tree.svg,-,78,37,Hutan Lindung Sentajo,mineral,-,-0.4731048,101.5726112,72.699,0.002500007,Belum,Belum,Belum,Padin,2021-10-17T14:16:00.000+07:00,200000,21205.52953,-,Chave (2005),media/1.8.jpg,media/2.8.jpg,media/3.8.jpg,media/4.8.jpg,adopsipohonriau/8
9,SI0011RL,Kare kare,-,Pohon Tua,icon/mature_tree.svg,-,41,35,Hutan Lindung Sentajo,mineral,-,-0.4730509,101.572386,32.342,0.002517732,Belum,Belum,Belum,Padin,2021-10-17T14:25:00.000+07:00,200000,3107.407246,-,Brown (1997),media/1.9.jpg,media/2.9.jpg,media/3.9.jpg,media/4.9.jpg,adopsipohonriau/9
10,SI0012RL,Meranti sabut,Shorea ovalis,Pohon Tua,icon/mature_tree.svg,-,59,33,Hutan Lindung Sentajo,mineral,-,-0.472805556,101.5725,136.987,0.002534588,Belum,Belum,Belum,Padin,2021-10-17T14:30:00.000+07:00,200000,6775.665238,-,Chave (2005),media/1.10.jpg,media/2.10.jpg,media/3.10.jpg,media/4.10.jpg,adopsipohonriau/10
16,SI0022RL,Keranji,Dialium kunstleri,Pohon Tua,icon/mature_tree.svg,Near Threatened,80,57,Hutan Lindung Sentajo,mineral,-,-0.4728557,101.5721589,20.428,0.002548997,Belum,Belum,Belum,Padin,2021-10-17T15:43:00.000+07:00,200000,33676.30612,-,Chave (2005),media/1.16.jpg,media/2.16.jpg,media/3.16.jpg,media/4.16.jpg,adopsipohonriau/16
17,SI0023RL,Garunggang,Cratoxylum sp.,Pohon Tua,icon/mature_tree.svg,-,42,42,Hutan Lindung Sentajo,mineral,-,-0.4729015,101.5721057,24.732,0.002547714,Belum,Belum,Belum,Padin,2021-10-17T15:47:00.000+07:00,200000,5308.694059,-,Chave (2005),media/1.17.jpg,media/2.17.jpg,media/3.17.jpg,media/4.17.jpg,adopsipohonriau/17
18,SI0024RL,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,-,58,53,Hutan Lindung Sentajo,mineral,-,-0.4728825,101.5722774,11.718,0.002539761,Belum,Belum,Belum,Padin,2021-10-17T15:51:00.000+07:00,200000,12641.71547,-,Chave (2005),media/1.18.jpg,media/2.18.jpg,media/3.18.jpg,media/4.18.jpg,adopsipohonriau/18
19,SI0025RL,Tempunik,Artocarpus sp.,Pohon Tua,icon/mature_tree.svg,-,41,26,Hutan Lindung Sentajo,mineral,-,-0.4729778,101.572264,18.6,0.002531527,Belum,Belum,Belum,Padin,2021-10-17T15:55:00.000+07:00,200000,3037.311594,-,Chave (2005),media/1.19.jpg,media/2.19.jpg,media/3.19.jpg,media/4.19.jpg,adopsipohonriau/19
20,SI0026RL,Medang,Litsea sp.,Pohon Muda,icon/young_tree.svg,-,40,27,Hutan Lindung Sentajo,mineral,-,-0.4732302,101.5727038,207.281,0.002482954,Belum,Belum,Belum,Padin,2021-10-17T16:03:00.000+07:00,200000,2643.548286,-,Chave (2005),media/1.20.jpg,media/2.20.jpg,media/3.20.jpg,media/4.20.jpg,adopsipohonriau/20
